noreg,tanggal_record,plan,aktual,reject,persentase,hadir,keterangan
2603146,2026-06-04,21,21,0,100.0,✔,"Pengecekan Pasir 
Perbantuan menaikan pasir di area FBO

Kendala :
Pasir sand tank sisa sedikit
Stock pasir JS4 di gudang kosong"
2601190,2026-06-04,0,34,0,100.0,✔,
2605044,2026-06-05,15,15,3,100.0,✔,tidak ada
2605045,2026-06-05,0,8,3,100.0,✔,tidak ada
2605046,2026-06-05,0,131,0,100.0,✔,
2605039,2026-06-05,15,15,0,100.0,✔,Tidak ada
2605018,2026-06-04,86,86,1,100.0,✔,Tidak ada
2605011,2026-06-05,42,42,4,100.0,✔,Tidak ada
2605047,2026-06-05,0,20,0,100.0,✔,Tidak ada
2605042,2026-06-04,0,30,0,100.0,✔,
2605042,2026-06-05,0,22,0,100.0,✔,
2605043,2026-06-05,194,194,0,100.0,✔,maintenance
2604144,2026-06-05,0,0,0,,✔,"1. Melakukan penyebaran RPH ke setiap line produksi sesuai jadwal.
2. Mencetak ulang form produksi yang habis di area produksi.
3. Mengambil seluruh checksheet produksi dari masing-masing line.
4. Melakukan input data produksi secara berkala.
5. Menginput hasil produksi ke sistem Dynamics AX.
6. Melakukan stock opname
7. Membuat jadwal produksi untuk minggu depan"
2602168,2026-06-05,0,38,0,100.0,✔,
2605040,2026-06-04,30,30,0,100.0,✔,
2605040,2026-06-05,20,15,0,75.0,✔,
2601176,2026-06-05,0,0,0,,✔,Time management
2603155,2026-06-05,0,0,0,,✔,"Daily report maintenance
5 juni 2026
ayu agustina
admin maintenance
-membersihkan area gudang sperpat
-menerima barang datang
-menyiapkan barang2 yang di perlukan
-mengeluarkan barang yang di perlukan produksi
-barcode berjalan"
2601190,2026-06-05,0,38,0,100.0,✔,
2603130,2026-06-05,0,83,0,100.0,✔,grinding cylinder liner (27 pcs) friction (56 pcs).
2605041,2026-06-05,63,63,0,100.0,✔,maintenance
2605012,2026-06-05,83,83,0,100.0,✔,Tidak ada
2605018,2026-06-05,51,49,2,96.08,✔,Tidak ada
2605046,2026-06-06,0,32,0,100.0,✔,
2605044,2026-06-06,20,20,0,100.0,✔,
2605045,2026-06-06,0,15,0,100.0,✔,tidak ada
2605039,2026-06-06,15,15,0,100.0,✔,Tidak ada
2604129,2026-06-05,0,36,0,100.0,✔,Moulding hino bocor
2603143,2026-06-05,0,22,0,100.0,✔,
2603131,2026-06-05,0,0,0,,✔,"Memindahkan ladle steel dan fcd dari area melting ke area ladle dengan forklift,lalu melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air setelah ladle sudah siap repair lalu melakukan pengecekan stir gearbox dan dikasih greas pada area gearbox sehabis pengecekan stir gearbox lalu pemindahan ladle ke burner dengan menggunakan forklift sehabis ngeburner ladle yang akan di masak lalu melanjutkan pembongkaran furnace 1ton

Kendala1: Cairan pada pocket ladle fcd menempel dan susah buat di ambil
Kendala2:Drill sering mati
Kendala3:Gearbox ladle fcd no 2 seret"
2602002,2026-06-04,0,140,0,100.0,✔,
2602002,2026-06-05,0,10,0,100.0,✔,
2605033,2026-06-05,73,73,0,100.0,✔,tidak ada
2603131,2026-06-06,0,0,0,,✔,"Memindahkan ladle steel dan fcd dari area melting ke area ladle dengan forklift,lalu melakukan pembersihan sisa cairan dan slag dengan menggunakan dril lalu melakukan pengukuran ulang dimensi ladle untuk ladle fcd sehabis membuat ulang poket lalu di ukur dimensi poket dan ketinggian poket,ladle sehabis di ukur lalu di repair dengan menggunakan semen dra-zrp dan semen dra-lp526 setelah repair dengan menggunakan semen lalu rapikan ladle yang sudah repair dengan kuas dan air dan ladle siap untuk di burner di hari senin"
2605011,2026-06-06,46,46,2,100.0,✔,Tidak ada
2601190,2026-06-06,0,32,0,100.0,✔,
2601176,2026-06-06,0,0,0,,✔,Time management
2605047,2026-06-06,0,18,0,100.0,✔,Tidak ada
2603130,2026-06-06,0,64,0,100.0,✔,grinding Cylinder Liner (28 pcs) & Friction (36 pcs).
2605041,2026-06-06,73,73,5,100.0,✔,
2605033,2026-06-06,64,64,0,100.0,✔,tidak ada
2605018,2026-06-06,30,30,0,100.0,✔,Tidak ada
2605043,2026-06-06,53,52,0,98.11,✔,maintenance
2605012,2026-06-06,64,64,0,100.0,✔,Tidak ada
2605042,2026-06-06,0,30,0,100.0,✔,
2603146,2026-06-05,10,2,8,20.0,✔,"Pengecekan pasir
Perbantuan menaikan pasir area FBO
 
Kendala :
-Trial BD HINO DUTRO gagal
-BD banyak mould bocor karna material NG"
2603146,2026-06-06,0,0,0,,✔,"Perbantuan menaikan pasir di area FBO
Belajar di area FI"
2605011,2026-06-08,126,126,3,100.0,✔,Tidak ada; Ada sedikit kendala untuk pengambilan pasir manual kurang efisien
2605047,2026-06-07,0,22,0,100.0,✔,Tidak ada
2605018,2026-06-08,80,80,2,100.0,✔,Gantungan untuk membuka cetakan friction type A patah dan sudah di repair
